"Label (Grouping)","Total:","Total:!!Black or African American alone"
"Census Tract 1306; Oakland County; Michigan","",""
"    Estimate","3,363","57"
"Census Tract 1307; Oakland County; Michigan","",""
"    Estimate","6,583","22"
"Census Tract 1311; Oakland County; Michigan","",""
"    Estimate","2,145","0"
"Census Tract 1313; Oakland County; Michigan","",""
"    Estimate","4,679","19"
"Census Tract 1314; Oakland County; Michigan","",""
"    Estimate","2,209","41"
"Census Tract 1315; Oakland County; Michigan","",""
"    Estimate","3,732","0"
"Census Tract 1316; Oakland County; Michigan","",""
"    Estimate","2,517","36"
"Census Tract 1318; Oakland County; Michigan","",""
"    Estimate","3,850","71"
"Census Tract 1321; Oakland County; Michigan","",""
"    Estimate","6,468","1"
"Census Tract 1325; Oakland County; Michigan","",""
"    Estimate","3,640","43"
"Census Tract 1326; Oakland County; Michigan","",""
"    Estimate","4,090","58"
"Census Tract 1327; Oakland County; Michigan","",""
"    Estimate","2,827","116"
"Census Tract 1330.01; Oakland County; Michigan","",""
"    Estimate","3,374","49"
"Census Tract 1330.02; Oakland County; Michigan","",""
"    Estimate","4,236","59"
"Census Tract 1330.03; Oakland County; Michigan","",""
"    Estimate","3,808","232"
"Census Tract 1331.01; Oakland County; Michigan","",""
"    Estimate","4,308","1,112"
"Census Tract 1331.02; Oakland County; Michigan","",""
"    Estimate","1,400","134"
"Census Tract 1340; Oakland County; Michigan","",""
"    Estimate","4,993","32"
"Census Tract 1343; Oakland County; Michigan","",""
"    Estimate","5,143","48"
"Census Tract 1344; Oakland County; Michigan","",""
"    Estimate","4,487","37"
"Census Tract 1345; Oakland County; Michigan","",""
"    Estimate","3,687","36"
"Census Tract 1346; Oakland County; Michigan","",""
"    Estimate","3,939","9"
"Census Tract 1347; Oakland County; Michigan","",""
"    Estimate","3,597","179"
"Census Tract 1348; Oakland County; Michigan","",""
"    Estimate","3,327","152"
"Census Tract 1349; Oakland County; Michigan","",""
"    Estimate","3,678","124"
"Census Tract 1350; Oakland County; Michigan","",""
"    Estimate","3,553","125"
"Census Tract 1351; Oakland County; Michigan","",""
"    Estimate","5,089","74"
"Census Tract 1352; Oakland County; Michigan","",""
"    Estimate","3,620","214"
"Census Tract 1353; Oakland County; Michigan","",""
"    Estimate","5,332","464"
"Census Tract 1360; Oakland County; Michigan","",""
"    Estimate","3,987","644"
"Census Tract 1361.01; Oakland County; Michigan","",""
"    Estimate","5,809","125"
"Census Tract 1361.02; Oakland County; Michigan","",""
"    Estimate","4,003","1,459"
"Census Tract 1363; Oakland County; Michigan","",""
"    Estimate","5,425","350"
"Census Tract 1365; Oakland County; Michigan","",""
"    Estimate","5,902","570"
"Census Tract 1366.01; Oakland County; Michigan","",""
"    Estimate","5,428","285"
"Census Tract 1366.02; Oakland County; Michigan","",""
"    Estimate","3,288","84"
"Census Tract 1367; Oakland County; Michigan","",""
"    Estimate","6,220","218"
"Census Tract 1368; Oakland County; Michigan","",""
"    Estimate","5,976","904"
"Census Tract 1371.01; Oakland County; Michigan","",""
"    Estimate","3,576","160"
"Census Tract 1371.02; Oakland County; Michigan","",""
"    Estimate","8,114","256"
"Census Tract 1374; Oakland County; Michigan","",""
"    Estimate","7,132","377"
"Census Tract 1377; Oakland County; Michigan","",""
"    Estimate","1,597","41"
"Census Tract 1378; Oakland County; Michigan","",""
"    Estimate","3,307","0"
"Census Tract 1381; Oakland County; Michigan","",""
"    Estimate","7,288","142"
"Census Tract 1383.01; Oakland County; Michigan","",""
"    Estimate","4,934","105"
"Census Tract 1383.02; Oakland County; Michigan","",""
"    Estimate","8,260","27"
"Census Tract 1386; Oakland County; Michigan","",""
"    Estimate","3,451","131"
"Census Tract 1392.01; Oakland County; Michigan","",""
"    Estimate","3,657","146"
"Census Tract 1392.02; Oakland County; Michigan","",""
"    Estimate","2,953","0"
"Census Tract 1394; Oakland County; Michigan","",""
"    Estimate","5,235","33"
"Census Tract 1401.01; Oakland County; Michigan","",""
"    Estimate","1,531","140"
"Census Tract 1403.01; Oakland County; Michigan","",""
"    Estimate","4,499","625"
"Census Tract 1403.03; Oakland County; Michigan","",""
